0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:21:21 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:21:22 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:21:22 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:21:22 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:21:29 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:21:30 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:21:30 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:21:30 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:21:30 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:21:30 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:33:35 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1954
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:33:35 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=12 HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:33:35 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1954
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:33:36 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=12 HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:33:36 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1954
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:33:36 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=12 HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:36:21 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1993
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:36:41 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:36:42 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=12 HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:37:19 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:37:19 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=12 HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:37:19 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:37:19 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=12 HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:37:19 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:37:20 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=12 HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:37:58 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:37:58 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=12 HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:38:30 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 2014
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:38:30 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=12 HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:40:10 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 2021
